Título,Autor,Materia,Resumen,Fecha,Idioma
El análisis lógico de la predicación colectiva,"Fernández Díez,Gustavo",colectivo/distributivo,"En el presente artículo se examinan algunos de los problemas suscitados por el análisis lógico de la predicación colectiva (aquella en la que un predicado se aplica colectivamente a una pluralidad de sujetos). Su tratamiento habitual en lógica de primer orden no es del todo satisfactorio, y la búsqueda de otros modos de representación abre interesantes perspectivas. Se investiga, en particular, la introducción de predicados poligraduados, señalando algunas deficiencias e insuficiencias en la literatura reciente sobre los mismos. Argumento que la oposición colectivo /distributivo debe localizarse en la estructura lógica del enunciado en cuestión.",01/01/2006,es
Cambios de referencia: Kripke y Putnam,"Fernández Moreno,Luis",cambio de referencia,"Una de las objeciones usualmente formuladas contra la teoría causal de la referencia es que ésta no puede dar cuenta de los cambios de referencia que nuestros términos pueden experimentar. El objetivo de este escrito es examinar la posición de dos de los más importantes promotores de la teoría causal de la referencia, Kripke y Putnam, acerca del cambio de referencia.",01/01/2006,es
El valor moral del arte y la emoción,"Pérez Carreño,Francisca",moralismo,"Frente al moralismo moderado, este ensayo defiende una forma de autonomismo moderado. Reconoce que en ocasiones la obra de arte excita emociones moralmente inadecuadas sin que ello impida su comprensión, y que esto podría contribuir a la clarificación de nuestra vida mental. El autonomismo moderado sostiene que el carácter autónomo de la obra de arte, representacional o ficcional, permite relajar nuestras exigencias morales. Sólo cuando la falsedad perjudica la verosimilitud se puede producir el fracaso de la obra: no por provocar emociones moralmente inadecuadas, sino al presentar como verdadero en la ficción algo falso o incoherente con la verdad en realidad.",01/01/2006,es
La distinción doxástico-subdoxástico,"Skidelsky,Liza",estados del procesamiento de la información,"En este trabajo discuto los criterios que se han postulado para establecer una distinción entre los estados doxásticos y los subdoxásticos; a saber: accesibilidad a la conciencia (Stich 1978), integración inferencial (Stich 1978) y conceptualización (Davies 1986, 1989). Esta discusión se realiza a través del análisis de los argumentos propuestos por Davies (1989). Mi tesis es que si bien habría una distinción intuitiva entre ciertas clases de estados mentales, estos criterios, según las dos lecturas posibles de lo que el mismo Davies propone para que un criterio constituya una distinción de principio, no parecen establecer la distinción deseada.",01/01/2007,es
Un pseudoproblema para el minimismo,"Chaves Ruiz,José E",lo que se dice,"El objetivo principal de este artículo es contribuir al debate entre contextualistas y minimistas, mostrando cómo uno de los principales argumentos en contra del minimismo, que denominaré el ""Argumento de la pérdida de generalidad de la noción de implicatura"", descansa en una mala comprensión o en una simplificación del mecanismo de generación de implicaturas conversacionales.",01/01/2007,es
Necesidad y lo que depende de nosotros: Sobre la interpretación de Marcelo Boeri del compatibilismo estoico,"Salles,Ricardo",necesidad,"Este trabajo discute la interpretación de Marcelo Boeri sobre el compatibilismo estoico; esto es, la tesis de que es compatible con el determinismo que rige al mundo natural el que podamos ser genuinamente responsables de nuestras acciones. Según Boeri, los estoicos intentaron conciliar las dos cosas abriendo un margen de indeterminación gracias al cual nuestras acciones no están sujetas a la necesidad que domina los demás fenómenos naturales. La discusión que se ofrece aquí se basa en un análisis del concepto antiguo de lo que depende de nosotros y de los conceptos estoicos de determinismo y modalidad.",01/01/2007,es
"Necesidad, lo que depende de nosotros y posibilidades alternativas en los estoicos: Réplica a Ricardo Salles","Boeri,Marcelo D",fatalismo,"Ésta es la respuesta a la crítica hecha por Ricardo Salles a mi interpretación del compatibilismo estoico. Aunque en parte admito sus objeciones, intento mostrar que algunos textos nos permiten pensar que, aunque lo que depende de nosotros no implique necesariamente acciones alternativas, eso no significa que no pueda implicarlas. También trato de mostrar que un reexamen de la noción crisipea de posibilidad que tenga en cuenta el deseo y la creencia permite explicar por qué no es posible (en el sentido de ""posibilidad específica"") llevar a cabo las acciones X e Y (o Y en vez de X) en un tiempo dado, lo cual indicaría que la posibilidad específica también excluye acciones alternativas.",01/01/2007,es
La teoría de la explicación causal de Salmon y la mecánica cuántica,"Rolleri,José Luis",proceso causal,"Salmon ha afirmado que su teoría de la explicación causal no es enteramente adecuada para el dominio cuántico debido a ciertas anomalías causales como el dualismo onda/partícula y, especialmente, a las correlaciones estadísticas que surgen de experimentos tipo EPR. En este escrito se analizan las nociones causales de Salmon, en las cuales se basa su teoría probabilista de la explicación, con el fin de delimitar su alcance en ese dominio mostrando que sólo abarca procesos de transición pero no procesos de transmutación. Además, se propone, a muy grandes rasgos, una noción alternativa de causalidad indeterminista que pretende ser adecuada para ciertos procesos cuánticos como procesos estocásticos. Por último se arguye que si bien la explicación de las correlaciones cuánticas es un problema abierto, sería erróneo considerar que una teoría de la explicación causal, como la de Salmon, concebida y elaborada primordialmente para procesos físicos individuales, pueda y deba dar cuenta de tales correlaciones.",01/01/2007,es
El desafío de Billy Budd: Dilemas morales y dimensión institucional del derecho,"Lariguet,Guillermo",dilemas morales,"En este artículo se analiza el problema especial que tiene que enfrentar un agente moral cualificado institucionalmente, en específico un juez de un sistema jurídico cuando tiene que decidir sobre una situación que supone un dilema moral o jurídico. A partir de la historia de Melville, Billy Budd, se examinan los principales desafíos que el caso de Billy Budd plantea a la filosofía jurídica y la filosofía moral. Se muestra cómo el desafío es discutido por los filósofos del derecho en términos de la dimensión institucional del derecho, y por los filósofos morales cuando tratan las cosas en términos de una ética kantiana, en oposición a una ética de la virtud. Por último se sugiere la necesidad de contar con una visión más integrada de la filosofía moral y la filosofía del derecho.",01/01/2007,es
Bidimensionalismo epistémico y el espacio ontológico modal,"Alvarado Marambio,José Tomás",bidimensionalismo,"Este trabajo presenta las líneas centrales del bidimensionalismo epistémico defendido recientemente por David Chalmers, y considera, en particular, las motivaciones a las que la semántica debería servir en la conexión entre modalidad metafísica y epistémica. Después de esta presentación, se indican tres dificultades: (i) no se ha diferenciado suficientemente de las semánticas bidimensionales contextuales tradicionales; (ii) la noción de justificación a priori sobre la que se ha desarrollado requiere urgentemente mayor precisión; y (iii) los defensores del esquema han olvidado completamente los casos de ""contingencias fuertes"".",01/01/2007,es
